#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-E	CIII1620	4381.3834	1620.4	PHOTOSPHERE	0.2412	0.0976	0.1709	0.0755	-4.1196e-18	1.6667e-18	-2.7095e-18	2.5768e-18	0.54724	0.0856	1.0	-0.1562	4382.4451	0.5041	1.6658	1.7045	0.0003	8.45327102804	2.47171056579
rcs0327-E	FeIV1717	4645.0005	1717.8955	PHOTOSPHERE	0.3272	0.1168	0.7073	0.0713	-5.4246e-18	1.9358e-18	-3.5966e-18	5.1247e-18	0.35671	0.0813	1.0	-0.1789	4643.3513	0.4994	1.9726	1.7029	0.0003	12.073800738	2.80225229879
rcs0327-E	NIV1718	4646.7702	1718.55	PHOTOSPHERE	0.3193	0.0695	0.5675	0.0724	-5.2895e-18	1.1517e-18	-3.5966e-18	5.1247e-18	0.33033	0.0803	1.0	-0.388	4648.3295	0.1506	0.8877	1.7048	0.0001	11.9290161893	4.5927758965
rcs0327-E	FeIII1954	5285.0504	1954.61	PHOTOSPHERE	0.1643	0.1026	0.2482	0.0743	-2.4045e-18	1.5014e-18	-1.378e-18	2.3638e-18	0.43425	0.0852	1.0	-0.079	5285.1214	1.0642	2.2444	1.7039	0.0005	5.78521126761	1.60150526176
rcs0327-E	FeIII1958	5295.8119	1958.59	PHOTOSPHERE	0.3019	0.1065	0.4491	0.0771	-4.4077e-18	1.5548e-18	-1.378e-18	2.3638e-18	1.2817	0.0848	1.0	-0.1448	5297.6922	0.6044	2.2489	1.7048	0.0003	10.6804245283	2.83489837921
rcs0327-E	CIII2297	6212.4036	2297.58	PHOTOSPHERE	0.1046	0.0659	0.0233	0.0897	-1.1982e-18	7.5505e-19	9.8796e-19	8.5131e-19	2.568	0.0988	1.0	-0.1407	6212.2257	0.3818	0.8021	1.7038	0.0002	3.17611336032	1.58691477386
rcs0327-G	CIII1247	3371.8802	1247.38	PHOTOSPHERE	0.0981	0.2549	-0.6745	0.3041	-2.27e-18	5.8966e-18	-7.0908e-18	1.2307e-17	-0.39171	0.3598	1.0	-0.178	3371.0593	1.1706	0.5946	1.7025	0.0009	0.817954419122	0.384967608452
rcs0327-G	SiIII1294	3499.3617	1294.54	PHOTOSPHERE	0.3427	0.1853	0.4235	0.1784	-8.1947e-18	4.4313e-18	-3.7786e-18	1.2033e-17	0.367	0.1905	1.0	-0.3215	3499.0636	0.4798	1.1495	1.7029	0.0004	5.3968503937	1.84927673595
rcs0327-G	CIII1296	3504.2004	1296.33	PHOTOSPHERE	0.123	0.1897	0.4866	0.174	-2.9428e-18	4.5366e-18	-3.7786e-18	1.2033e-17	-0.069456	0.1981	1.0	-0.1423	3504.1115	1.13	0.9323	1.7031	0.0009	1.86269560828	0.648679627915
rcs0327-G	SiIII1296	3505.3087	1296.74	PHOTOSPHERE	0.1591	0.2196	0.3992	0.1783	-3.806e-18	5.2523e-18	-3.7786e-18	1.2033e-17	0.0022814	0.2048	1.0	-0.1497	3507.7669	1.1677	1.1458	1.7051	0.0009	2.33056640625	0.724634921844
rcs0327-G	SiIII1298	3511.2286	1298.93	PHOTOSPHERE	0.573	0.2209	0.8107	0.1783	-1.3708e-17	5.2853e-18	-3.7786e-18	1.2033e-17	0.82519	0.2108	1.0	-0.4144	3513.8784	0.4214	1.4911	1.7052	0.0003	8.15464895636	2.59360868825
rcs0327-G	CII1323	3578.8079	1323.93	PHOTOSPHERE	0.0	0.0679	-0.2531	0.1486	-1.468e-29	1.6019e-18	4.476e-18	1.1399e-17	0.39268	0.1687	1.0	-0.0	3576.107	73022016060.3	0.6311	1.7011	55155496.1821	0.0	9.16411761034e-12
rcs0327-G	NIII1324	3579.9432	1324.35	PHOTOSPHERE	0.0	0.0691	-0.2625	0.145	-9.8636e-34	1.6298e-18	4.476e-18	1.1399e-17	0.39268	0.1651	1.0	-0.0	3577.2472	0.0	0.6313	1.7011	0.0	0.0	6.05203092404e-16
rcs0327-G	SiIII1417	3831.0407	1417.24	PHOTOSPHERE	0.1276	0.1603	0.0558	0.1264	-2.8331e-18	3.5604e-18	-1.3951e-18	7.0437e-18	0.20415	0.1553	1.0	-0.0845	3833.9318	1.5349	1.6269	1.7052	0.0011	2.46490663232	0.795725199416
rcs0327-G	SV1501	4059.5126	1501.76	PHOTOSPHERE	0.2412	0.1322	0.3145	0.1106	-4.942e-18	2.7086e-18	4.1348e-18	3.5122e-18	2.5843	0.12	1.0	-0.1509	4059.8549	0.7082	1.7239	1.7034	0.0005	6.03	1.82455881267
rcs0327-G	CIII1620	4380.2167	1620.4	PHOTOSPHERE	0.3686	0.1119	0.2467	0.093	-6.9677e-18	2.1146e-18	-6.2671e-18	3.6059e-18	0.19428	0.1062	1.0	-0.2137	4382.6413	0.4214	1.8601	1.7047	0.0003	10.4124293785	3.29504397995
rcs0327-G	FeIV1717	4643.7636	1717.8955	PHOTOSPHERE	0.1116	0.1027	0.2432	0.0981	-1.9928e-18	1.8346e-18	-1.183e-18	4.983e-18	0.16251	0.1117	1.0	-0.1469	4644.5822	0.6608	0.8189	1.7036	0.0004	2.99731423456	1.08623133108
rcs0327-G	NIV1718	4645.5328	1718.55	PHOTOSPHERE	0.2091	0.1001	0.2598	0.0978	-3.7325e-18	1.7878e-18	-1.183e-18	4.983e-18	0.51164	0.1087	1.0	-0.275	4647.0739	0.3503	0.8198	1.7041	0.0002	5.77092916283	2.08776149457
rcs0327-G	FeIII1954	5283.6431	1954.61	PHOTOSPHERE	0.296	0.1327	0.3657	0.1106	-4.4146e-18	1.9793e-18	-1.3366e-18	3.5181e-18	0.8749	0.12	1.0	-0.1423	5283.3231	0.7544	2.2438	1.703	0.0004	7.4	2.23038447936
rcs0327-G	FeIII1958	5294.4017	1958.59	PHOTOSPHERE	0.3287	0.1358	0.4106	0.112	-4.8941e-18	2.0211e-18	-1.3366e-18	3.5181e-18	1.0112	0.1286	1.0	-0.1577	5294.7922	0.7002	2.2483	1.7034	0.0004	7.66796267496	2.42150314185
rcs0327-G	CIII2297	6210.7493	2297.58	PHOTOSPHERE	0.388	0.1424	0.4061	0.1198	-4.9725e-18	1.8249e-18	2.8419e-18	3.5932e-18	2.1748	0.1422	1.0	-0.1587	6211.486	0.7371	2.6375	1.7035	0.0003	8.18565400844	2.72480683873
rcs0327-U	CIII1247	3372.8906	1247.38	PHOTOSPHERE	0.1281	0.3484	-1.2035	0.4699	-2.2025e-18	5.989e-18	-1.3469e-18	2.0854e-17	0.041028	0.5384	1.0	-0.2548	3373.7178	1.1059	0.5423	1.7046	0.0009	0.713781575037	0.367757555518
rcs0327-U	SiIII1294	3500.4103	1294.54	PHOTOSPHERE	0.1582	0.2142	0.0379	0.2904	-2.8664e-18	3.8815e-18	8.8714e-18	5.106e-18	2.2988	0.3453	1.0	-0.3031	3499.5566	0.5812	0.5629	1.7033	0.0004	1.37445699392	0.738477392761
