#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-E	CII1335c	3610.953	1335.708	EMISSION	-0.0	0.3159	1.9017	0.1393	8.6918e-37	5.684e-18	-3.7558e-18	1.3818e-18	2.7181	-0.1565	1.0	0.0	3611.514	0.0	0.4662	1.7038	0.0	0.0	1.52916959887e-19
rcs0327-E	NIV]1486	4018.6041	1486.5	EMISSION	-0.2505	0.1423	-0.3027	0.1038	4.367e-18	2.4804e-18	7.2597e-19	3.6872e-18	0.98746	-0.1148	1.0	0.1583	4019.2284	0.737	1.7065	1.7038	0.0005	6.54616724739	1.76060312853
rcs0327-E	SiII1533	4145.4779	1533.4312	FINESTR	-0.3554	0.0769	-0.1335	0.086	6.1394e-18	1.3276e-18	-2.018e-17	1.8867e-17	1.395	-0.1005	1.0	0.5244	4145.3407	0.1195	0.7309	1.7033	0.0001	10.6089552239	4.6244350708
rcs0327-E	HeII1640	4434.7033	1640.417	EMISSION	-0.4823	0.1083	-0.8937	0.0793	8.1944e-18	1.8404e-18	4.3233e-18	4.9892e-18	0.7759	-0.0898	1.0	0.2762	4435.3923	0.3224	1.8832	1.7038	0.0002	16.1124721604	4.45251032384
rcs0327-E	OIII]1660	4489.8311	1660.809	EMISSION	-0.1561	0.1078	-0.1376	0.0788	2.6358e-18	1.8205e-18	-1.3621e-18	7.8562e-18	0.50888	-0.0867	1.0	0.0883	4489.1335	0.9919	1.9067	1.703	0.0006	5.40138408304	1.4478439989
rcs0327-E	OIII1666	4504.2699	1666.15	EMISSION	-0.5181	0.1104	-0.5695	0.0804	8.7243e-18	1.8596e-18	-5.2176e-19	3.9326e-18	2.3511	-0.0921	1.0	0.2921	4503.5701	0.307	1.9128	1.703	0.0002	16.8762214984	4.69149279415
rcs0327-E	SiIII1882	5089.7101	1882.707	EMISSION	-0.3272	0.0763	-0.3526	0.0706	4.9965e-18	1.1651e-18	5.4914e-19	3.9936e-18	1.1136	-0.0805	1.0	0.2722	5089.5859	0.2287	1.2966	1.7033	0.0001	12.1937888199	4.28847309244
rcs0327-E	SiIII1892	5114.9112	1892.029	EMISSION	-0.4327	0.0941	-0.4228	0.0728	6.571e-18	1.4297e-18	2.3775e-18	4.959e-18	0.84564	-0.0829	1.0	0.2446	5114.8417	0.313	1.9081	1.7034	0.0002	15.6586248492	4.59606910541
rcs0327-E	CIII]1906	5154.5268	1906.683	EMISSION	-0.7714	0.0692	-1.6353	0.0742	1.1623e-17	1.0433e-18	8.8533e-19	3.3821e-18	3.175	-0.0808	1.0	0.8544	5153.726	0.0658	0.9737	1.703	0.0	28.6410891089	11.1406115211
rcs0327-E	CIII]1908	5160.0715	1908.734	EMISSION	-1.2046	0.083	-1.7347	0.0732	1.8106e-17	1.2481e-18	8.8533e-19	3.3821e-18	5.0916	-0.086	1.0	0.9377	5160.1356	0.0719	1.3855	1.7034	0.0	42.0209302326	14.5068504126
